,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
230,Cody Thompson,SEA,WR,0.0,0.0,0.0,3.2,34.6,0.2,0.0,0.0,0.0,0,0.0,0.0
231,Justyn Ross,KC,WR,0.0,0.0,0.0,1.9,21.3,0.2,0.0,0.0,0.0,0,0.0,0.0
232,Brandon Powell,LAR,WR,0.0,0.0,0.0,1.8,20.3,0.2,0.0,0.0,0.0,0,0.0,0.0
233,Tre Nixon,NE,WR,0.0,0.0,0.0,1.7,19.2,0.1,0.0,0.0,0.0,0,0.0,0.0
234,Bo Melton,SEA,WR,0.0,0.0,0.0,1.7,18.7,0.1,0.0,0.0,0.0,0,0.0,0.0
235,Gunner Olszewski,PIT,WR,0.0,0.0,0.0,0.8,9.3,0.0,0.0,0.0,0.0,0,0.0,0.0
236,Devin Funchess,DET,WR,0.0,0.0,0.0,0.4,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0
237,Tavon Austin,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
238,Antonio Gandy-Golden,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
239,Kirk Merritt,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
240,Deon Cain,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
241,Joe Reed,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
242,Rico Gafford,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
243,Kevin White,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
244,Austin Mack,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
245,Tanner Gentry,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
246,Robert Foster,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
247,Lawrence Cager,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
248,J.J. Koski,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
249,Mason Kinsey,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
250,Kelvin Harmon,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
251,Maurice Ffrench,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
252,C.J. Board,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
253,Tom Kennedy,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
254,Alex Erickson,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
255,Dan Chisena,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
256,River Cracraft,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
257,John Hightower,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
258,Vyncint Smith,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
259,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
260,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Josh Allen,BUF,QB,120.0,670.1,6.9,0.0,0,0.0,3.8,607.7,389.0,"4,334.2",35.1,14.5
2,Patrick Mahomes II,KC,QB,66.5,355.2,2.8,0.0,0,0.0,3.6,631.8,416.4,"4,680.2",36.0,11.6
3,Justin Herbert,LAC,QB,64.6,299.1,3.2,0.0,0,0.0,1.9,626.1,415.6,"4,607.2",34.0,13.1
4,Lamar Jackson,BAL,QB,159.4,936.6,4.4,0.0,0,0.0,4.3,519.9,335.6,"3,686.3",24.9,13.8
5,Jalen Hurts,PHI,QB,140.3,741.1,7.9,0.0,0,0.0,3.4,495.9,306.2,"3,552.3",24.6,12.9
6,Kyler Murray,ARI,QB,108.7,535.9,5.7,0.0,0,0.0,3.0,566.6,381.2,"4,149.5",26.5,12.3
7,Tom Brady,TB,QB,27.5,53.8,1.8,0.0,0,0.0,3.2,653.0,432.1,"4,696.5",37.1,12.0
8,Dak Prescott,DAL,QB,56.1,223.9,2.6,0.0,0,0.0,5.5,598.8,402.6,"4,489.3",34.0,11.2
